Rank,Team,2021,Last 3,Last 1,Home,Away,2020
1,Boston,6.4,-11,-13,6.2,6.7,0.9
2,Phoenix,6.3,-10,-33,8.4,4.2,5.5
3,Golden State,5.4,11,13,10.4,0.2,0.9
4,Memphis,5.3,7.3,-14,9.3,1.2,0.5
5,Utah,5.2,-8.7,-2,9,1.5,7.9
6,Miami,4.3,-3,-4,5.8,2.8,-1.1
7,Milwaukee,3.1,-12.7,-28,3.7,2.6,5.7
8,Dallas,2.8,-3,-10,6.7,-0.9,1.6
9,Philadelphia,2.3,-12,-9,3.6,1.1,5.9
10,Minnesota,2.1,-3,-8,4.4,-0.2,-5.6
11,Cleveland,1.9,1.7,-6,4.2,-0.3,-8.4
12,Denver,1.7,-1.3,-4,2.3,1.2,3.7
13,Toronto,1.6,-4,-35,3.3,-0.1,-0.5
14,Atlanta,1.2,-8.7,-3,4.8,-2.4,1.6
15,Brooklyn,0.6,-5.7,-4,-2,3.2,4.8
16,Charlotte,0.1,1,-29,1.4,-1.2,-2.3
17,San Antonio,0,-8.7,-10,-0.1,0.1,-1.8
18,LA Clippers,-0.1,13.7,-4,2.3,-2.5,5.7
19,New York,-0.1,7,11,-1.5,1.3,1.7
20,New Orleans,-0.8,-2,-6,1.6,-3.2,-0.3
21,Chicago,-1.2,-23.3,-16,1,-3.4,-0.9
22,LA Lakers,-3,2.7,5,-0.5,-5.6,2.1
23,Washington,-3.4,-17.7,-16,-0.6,-6.1,-2.4
24,Indiana,-3.5,-10,-8,-0.6,-6.4,0
25,Sacramento,-5.5,-8.7,7,-4,-6.9,-3.7
26,Detroit,-7.7,-20,-12,-5.1,-10.3,-4.5
27,Orlando,-8,-2.7,14,-8.1,-7.9,-9.3
28,Okla City,-8.1,-35,-50,-6.4,-9.8,-10.6
29,Houston,-8.5,-10.3,-16,-6.8,-10.1,-7.9
30,Portland,-8.9,-38,-31,-5,-12.8,1.6
